date,observer,species morpho,Species ID,species code,rf.1.a,rf.2.p,rf.3.a,rf.4.p,rf.5.a,rf.6.a,rf.7.a,rf.8.a,rf.9.p,cm.10.a,cm.11.a,cm.12.p,cm.13.a,cm.14.a,cm.15.p,cm.16.p,cm.17.a,cm.18.p,cm.19.a,control,notes
2024-08-09,AT,sticky grass,,,,,,,,,,2,,,,,,,,,,,,,
2024-08-09,AT,shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-08-09,AT,jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-08-16,"AT, CA",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,30,,,2,,,,,,2,,,,,
2024-08-16,"AT, CA",Unidentifed rush,Eleocharis sp,elesp,,,9,,2,,,,,1,1,,,,,,1,,,,
2024-08-16,"AT, CA",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,,,,2?,,,,,,,,(1 pressed 8/13)
2024-08-16,"AT, CA",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Opposite oval sprout,Erythranthe primuloides,erypri,6,2,23,,1,14,1,1,4,2,,1,63,4,6,18,1,12,,,(1 pressed 8/13)
2024-08-16,"AT, CA",Flat Rush ,Juncus ensifolius,junens,,,,,,,,,1,,,,,,,,,,,,
2024-08-16,"AT, CA",Lung liverwort,Marchantia polymorpha ,marpol,,3,,,,,1,2,,,,,,,,,,,,, (we believe the change in number is due to the top soil being added)
2024-08-16,"AT, CA",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,3,,6,,1,,,,,,,,,,,,
2024-08-16,"AT, CA",Palmate sprout,Potentilla gracilis,potgra,,2,,2,,1,4,6,,,,1,,,,,,,,,
2024-08-16,"AT, CA",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Small Clover ,Trifolium longipes,trilon,4,1,8,1,11,,9,6,2,,,,,,,1,,,,,
2024-08-16,"AT, CA",Three leaf sprout,Viola adunca,vioadu,6,,,,3,6,,2,2,,,1,,,,,,,,,(1 pressed 8/13
2024-08-16,"AT, CA",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Oval leaf vine,,,,,1,,1,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Single leaf strong vein,,,,1?,,,,,,RIP,,,,,,,,,,,,,
2024-08-16,"AT, CA",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Two teardrop thick sprout ,,,1,1,,,1,5,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",White based soft grass ,,,1,5,,,,,,,,,,,,1,,2,,1,1,,
2024-08-16,"AT, CA",Jagged teardrop,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Branching Long leaf,,,,,,,,,,,,,,,,,1,,,2,,,(1 pressed 8/13)
2024-08-16,"AT, CA",general grass ,,,33,17,4,1,35,45,24,6,5,116,3,1,115,42,25,86,2,25,7,,
2024-08-16,"AT, CA",sticky grass,,,,,,,,,,2,,,,,,,,,,,,,
2024-08-16,"AT, CA",shiny top leaf ,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-23,"AT, CA",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,17,,,2,,,,,,2,,,,,
2024-08-23,"AT, CA",Unidentifed rush,Eleocharis sp,elesp,,,9,,2,,,,,1,1,,,,,,1,,,,
2024-08-23,"AT, CA",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,,,,2 FLOWERING,,,,,,,,
2024-08-23,"AT, CA",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,2,4,3,,1,63,4,8,20,1,16,3,,
2024-08-23,"AT, CA",Flat Rush ,Juncus ensifolius,junens,,,,,,,,,1,,,,,,,,,,,,
2024-08-23,"AT, CA",Lung liverwort,Marchantia polymorpha ,marpol ,4,,,4,,,,12,,,,,,,,,,,,,
2024-08-23,"AT, CA",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,2,,,,,,,,,,,
2024-08-23,"AT, CA",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,
2024-08-23,"AT, CA",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Small Clover ,Trifolium longipes,trilon,4,1,8,1,11,,9,6,2,,,,,,,1,,,,,
2024-08-23,"AT, CA",Three leaf sprout,Viola adunca,vioadu,6,,,,3,6,,0,3,,,1,2,,,,,,,,
2024-08-23,"AT, CA",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Two teardrop thick sprout ,,,1,1,,,1,4,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",White based soft grass ,,,1,,,,,,,,,,,,,1,,2,,1,1,,
2024-08-23,"AT, CA",Jagged teardrop,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Branching Long leaf ,,,,,,,,,,,,,,,,,1,,,2,,,
2024-08-23,"AT, CA",general grass ,,,33,18,4,1,39,45,35,7,7,120,3,1,115,44,25,70,2,25,8,,
2024-08-23,"AT, CA",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-23,"AT, CA",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-23,"AT, CA",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",New unidentified sprout?,,,1,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,2,,,,,
2024-08-30,"AT, CA, NH",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,,,,,,,1,,,,
2024-08-30,"AT, CA, NH",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,1,4,3,,1,63,4,9,22,1,16,2,,
2024-08-30,"AT, CA, NH",Flat Rush ,Juncus ensifolius,junens,,,,,,,,,1,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Lung liverwort,Marchantia polymorpha ,marpol ,0,2,,4,,,,5,2,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,
2024-08-30,"AT, CA, NH",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Small Clover ,Trifolium longipes,trilon,4,1,8,1,9,,7,5,2,,,,,,,1,,,,,
2024-08-30,"AT, CA, NH",Three leaf sprout,Viola adunca,vioadu,7,,,,5,7,,,3,,,,2,,,,,,,,
2024-08-30,"AT, CA, NH",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Maidenhair fern ,,,,,,1,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Oval leaf vine,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,1,,
2024-08-30,"AT, CA, NH",White based soft grass ,,,1,,,,,,,,,,,,,1,,,,1,,,
2024-08-30,"AT, CA, NH",Jagged teardrop,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Branching Long leaf ,,,,,,,,,,,,,,,,,1,,,1,,,
2024-08-30,"AT, CA, NH",general grass ,,,33,18,4,1,40,45,19,7,6,120,3,1,115,42,23,70,2,25,8,,
2024-08-30,"AT, CA, NH",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",red vein opposite leaves,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-06,"AT, CA",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,2,,,,,
2024-09-06,"AT, CA",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,2,1,,1,,
2024-09-06,"AT, CA",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,1,,,1,1,,,,1,,,
2024-09-06,"AT, CA",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,1,4,2,,1,63,4,10,22,1,15,2,,
2024-09-06,"AT, CA",Flat Rush ,Juncus ensifolius,junens,,,,,,,,,1,,,1?,,5,,,,,,,
2024-09-06,"AT, CA",Lung liverwort,Marchantia polymorpha ,marpol ,,2,,0*,,,,1*,0*,,,,,1,2,6,1,,,,
2024-09-06,"AT, CA",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,
2024-09-06,"AT, CA",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Small Clover ,Trifolium longipes,trilon,4,1,8,1,9,,7,5,2,,,,,,,2,,,,,
2024-09-06,"AT, CA",Three leaf sprout,Viola adunca,vioadu,7,,,,5,7,,,3,,,,2,,,,,,,,
2024-09-06,"AT, CA",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Maidenhair fern ,,,,,,1,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Oval leaf vine,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,1,,
2024-09-06,"AT, CA",White based soft grass ,,,1,,,,,,,,,,,,,1,,10,,1,,,
2024-09-06,"AT, CA",Jagged teardrop/Serviceberry,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Branching Long leaf ,,,,,,,,,,,,,,,,,1,,,1,,,
2024-09-06,"AT, CA",general grass ,,,33,18,4,1,40,45,19,7,6,120,4,,115,40,25,75,2,25,9,,
2024-09-06,"AT, CA",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-06,"AT, CA",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-06,"AT, CA",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",red vein opposite leaves,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-06,"AT, CA",unidentified sedge?,,,,,,,,,,,,,,,2,,,,,,,,
2024-09-11,"AT, NH",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,3,,,,,
2024-09-11,"AT, NH",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,,1,,,,
2024-09-11,"AT, NH",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,,,,1,,,,,1,,,
2024-09-11,"AT, NH",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,1,5,1,,1,63,3,11,22,1,20,2,,
2024-09-11,"AT, NH",Flat Rush ,Juncus ensifolius,junens,,,,,,,,,1,1,,1,,6,2,,,,,,
2024-09-11,"AT, NH",Lung liverwort,Marchantia polymorpha ,marpol ,,0*,,,,,,1,,,,,,1,,,1,,,,
2024-09-11,"AT, NH",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,1,,,,,,
2024-09-11,"AT, NH",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Small Clover ,Trifolium longipes,trilon,3,3,8,1,9,,7,5,2,,,,,,,2,,,,,
2024-09-11,"AT, NH",Three leaf sprout,Viola adunca,vioadu,7,,,,5,7,,,3,,,,2,,,,,,,,
2024-09-11,"AT, NH",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,1,,
2024-09-11,"AT, NH",White based soft grass ,,,1,,,,,,,,,,,,,,,,,1,,,
2024-09-11,"AT, NH",Jagged teardrop/Serviceberry,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,1,5,24,,,,,
2024-09-11,"AT, NH",Branching Long leaf ,,,,,,,,,,,,,,,,,,,,2,,,
2024-09-11,"AT, NH",general grass ,,,33,18,4,1,40,45,19,7,6,120,4,,115,40,21,49,2,25,9,,
2024-09-11,"AT, NH",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-11,"AT, NH",shiny top leaf ,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-11,"AT, NH",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",red vein opposite leaves,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-11,"AT, NH",unidentified sedge?,,,,,,,,,,,,1,,,3,,,,,,1,,
2024-09-20,"AT, NH",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,3,,,,,
2024-09-20,"AT, NH",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,,1,,,,
2024-09-20,"AT, NH",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,1,,,1,1,,,,1,,,
2024-09-20,"AT, NH",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,1,5,2,,1,63,3,11,22,1,22,2,,
2024-09-20,"AT, NH",Flat Rush ,Juncus ensifolius,junens,,,,,,,,,1,1,,1,,9,,,,,,,
2024-09-20,"AT, NH",Lung liverwort,Marchantia polymorpha ,marpol ,,0*,,,,,,1,,,,,,1,,6,1,,,,
2024-09-20,"AT, NH",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,1,,,,,,
2024-09-20,"AT, NH",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Small Clover ,Trifolium longipes,trilon,3,3,8,1,9,,7,5,2,,,,,,,2,,,1,,
2024-09-20,"AT, NH",Three leaf sprout,Viola adunca,vioadu,7,,,,5,7,,,3,,,,2,,,,,,,,
2024-09-20,"AT, NH",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,1,,
2024-09-20,"AT, NH",White based soft grass ,,,1,,,,,,,,,,,,2,1,5,24,,1,,,
2024-09-20,"AT, NH",Jagged teardrop/Serviceberry,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Branching Long leaf ,,,,,,,,,,,,,,,,,1,,,1,,,
2024-09-20,"AT, NH",general grass ,,,33,18,4,1,40,45,19,7,4*,120,3,1,115,40,21,50,2,25,9,,
2024-09-20,"AT, NH",sticky grass,,,,,,,,,,1,,1,,,,,,,,,1,,
2024-09-20,"AT, NH",shiny top leaf ,,,,,,,,1*,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-20,"AT, NH",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",red vein opposite leaves,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-20,"AT, NH",unidentified sedge?,,,,,,,,,,,,1,,,3,,,,,,1,,
2024-09-27,"AT, CA",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,3,,,,,
2024-09-27,"AT, CA",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,1?,,,1,1,,,,,,1,,,,
2024-09-27,"AT, CA",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,1,,,1,1,,,,1,,,
2024-09-27,"AT, CA",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,1,5,2,,1,63,3,11,22,1,22,2,,
2024-09-27,"AT, CA",Flat Rush ,Juncus ensifolius,junens,,,,,,,,,1,1,,,,9,,,,,,,
2024-09-27,"AT, CA",Lung liverwort,Marchantia polymorpha ,marpol ,,,,,,,,1,,,,,,,4,6,1,,,,
2024-09-27,"AT, CA",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Palmate sprout,Potentilla gracilis,potgra,,2,1,2*,,1,4,7,,,,1,,,1,,,,,,
2024-09-27,"AT, CA",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Small Clover ,Trifolium longipes,trilon,3,3*,8,1,9,,7,5,2,,,,,,,2,,,1,,
2024-09-27,"AT, CA",Three leaf sprout,Viola adunca,vioadu,7,,,,5,7,,,3,,,,2,,,,,,,,
2024-09-27,"AT, CA",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Long flared plant,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,1,,
2024-09-27,"AT, CA",White based soft grass ,,,1,,,,,,,,,,,1,4,1,6,24,,1,,,
2024-09-27,"AT, CA",Jagged teardrop/Serviceberry,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Branching Long leaf ,,,,,,,,,,,,,,,,,1,,,2,,,
2024-09-27,"AT, CA",general grass ,,,33,18,4,1,40,40,19,7,4,120,3,1,115,40,20,50,2,26,10,,
2024-09-27,"AT, CA",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-27,"AT, CA",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-27,"AT, CA",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",red vein opposite leaves,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-27,"AT, CA",unidentified sedge?,,,,,,,,,,,,1,,,4,,,,,,1,,
2024-09-27,"AT, CA",fuzzy teardrop ,,,,1,,,,,,,,,,,,,,,,,,,
2024-10-04,"AT, CA",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-10-04,"AT, CA",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
